kontrol,kayit_sayisi,oran_pct
duplicate_silindi,0,0.0
negatif_t0,0,0.0
sifir_t0,0,0.0
voltage_missing_any,75434,21.312
phase_zero,108077,30.535
ri_missing,10240,2.893
rc_missing,10240,2.893
