tesisat_no_id,il,ilce,load_profile_date,outlier_kolon,outlier_deger,p99_esik,p01_esik
db0c5926f2b64a6e9fe3a0c3e5126c14,ÇORUM,Merkez,2025-08-06 17:15:00,l1,36.68,27.5652,0.0
db0c5926f2b64a6e9fe3a0c3e5126c14,ÇORUM,Merkez,2025-08-06 17:30:00,l1,43.83,27.5652,0.0
db0c5926f2b64a6e9fe3a0c3e5126c14,ÇORUM,Merkez,2025-08-06 17:45:00,l1,29.78,27.5652,0.0
db0c5926f2b64a6e9fe3a0c3e5126c14,ÇORUM,Merkez,2025-08-06 18:00:00,l1,39.25,27.5652,0.0
db0c5926f2b64a6e9fe3a0c3e5126c14,ÇORUM,Merkez,2025-08-06 18:15:00,l1,33.64,27.5652,0.0
db0c5926f2b64a6e9fe3a0c3e5126c14,ÇORUM,Merkez,2025-08-06 18:30:00,l1,36.77,27.5652,0.0
db0c5926f2b64a6e9fe3a0c3e5126c14,ÇORUM,Merkez,2025-08-06 19:00:00,l1,34.0,27.5652,0.0
db0c5926f2b64a6e9fe3a0c3e5126c14,ÇORUM,Merkez,2025-08-06 19:30:00,l1,32.67,27.5652,0.0
db0c5926f2b64a6e9fe3a0c3e5126c14,ÇORUM,Merkez,2025-08-07 12:00:00,l1,28.57,27.5652,0.0
db0c5926f2b64a6e9fe3a0c3e5126c14,ÇORUM,Merkez,2025-08-07 12:15:00,l1,28.45,27.5652,0.0
db0c5926f2b64a6e9fe3a0c3e5126c14,ÇORUM,Merkez,2025-08-07 12:30:00,l1,37.64,27.5652,0.0
db0c5926f2b64a6e9fe3a0c3e5126c14,ÇORUM,Merkez,2025-08-07 12:45:00,l1,52.38,27.5652,0.0
db0c5926f2b64a6e9fe3a0c3e5126c14,ÇORUM,Merkez,2025-08-07 13:15:00,l1,29.88,27.5652,0.0
db0c5926f2b64a6e9fe3a0c3e5126c14,ÇORUM,Merkez,2025-08-07 13:30:00,l1,41.15,27.5652,0.0
db0c5926f2b64a6e9fe3a0c3e5126c14,ÇORUM,Merkez,2025-08-07 14:00:00,l1,28.72,27.5652,0.0
db0c5926f2b64a6e9fe3a0c3e5126c14,ÇORUM,Merkez,2025-08-08 06:45:00,l1,30.42,27.5652,0.0
db0c5926f2b64a6e9fe3a0c3e5126c14,ÇORUM,Merkez,2025-08-08 08:30:00,l1,33.28,27.5652,0.0
db0c5926f2b64a6e9fe3a0c3e5126c14,ÇORUM,Merkez,2025-08-08 19:30:00,l1,27.67,27.5652,0.0
db0c5926f2b64a6e9fe3a0c3e5126c14,ÇORUM,Merkez,2025-08-09 10:00:00,l1,29.83,27.5652,0.0
db0c5926f2b64a6e9fe3a0c3e5126c14,ÇORUM,Merkez,2025-08-09 10:15:00,l1,35.95,27.5652,0.0
db0c5926f2b64a6e9fe3a0c3e5126c14,ÇORUM,Merkez,2025-08-09 10:45:00,l1,39.89,27.5652,0.0
db0c5926f2b64a6e9fe3a0c3e5126c14,ÇORUM,Merkez,2025-08-09 11:00:00,l1,33.89,27.5652,0.0
db0c5926f2b64a6e9fe3a0c3e5126c14,ÇORUM,Merkez,2025-08-09 11:30:00,l1,31.74,27.5652,0.0
db0c5926f2b64a6e9fe3a0c3e5126c14,ÇORUM,Merkez,2025-08-09 12:00:00,l1,31.46,27.5652,0.0
db0c5926f2b64a6e9fe3a0c3e5126c14,ÇORUM,Merkez,2025-08-09 12:30:00,l1,33.4,27.5652,0.0
db0c5926f2b64a6e9fe3a0c3e5126c14,ÇORUM,Merkez,2025-08-09 13:30:00,l1,33.09,27.5652,0.0
db0c5926f2b64a6e9fe3a0c3e5126c14,ÇORUM,Merkez,2025-08-09 13:45:00,l1,32.16,27.5652,0.0
db0c5926f2b64a6e9fe3a0c3e5126c14,ÇORUM,Merkez,2025-08-10 08:15:00,l1,29.67,27.5652,0.0
db0c5926f2b64a6e9fe3a0c3e5126c14,ÇORUM,Merkez,2025-08-10 17:45:00,l1,29.71,27.5652,0.0
db0c5926f2b64a6e9fe3a0c3e5126c14,ÇORUM,Merkez,2025-08-11 12:00:00,l1,33.91,27.5652,0.0
db0c5926f2b64a6e9fe3a0c3e5126c14,ÇORUM,Merkez,2025-08-11 12:15:00,l1,41.2,27.5652,0.0
db0c5926f2b64a6e9fe3a0c3e5126c14,ÇORUM,Merkez,2025-08-11 13:00:00,l1,33.52,27.5652,0.0
db0c5926f2b64a6e9fe3a0c3e5126c14,ÇORUM,Merkez,2025-08-11 12:45:00,l1,39.48,27.5652,0.0
db0c5926f2b64a6e9fe3a0c3e5126c14,ÇORUM,Merkez,2025-08-11 13:30:00,l1,34.49,27.5652,0.0
db0c5926f2b64a6e9fe3a0c3e5126c14,ÇORUM,Merkez,2025-08-11 13:45:00,l1,28.29,27.5652,0.0
db0c5926f2b64a6e9fe3a0c3e5126c14,ÇORUM,Merkez,2025-08-11 20:00:00,l1,36.66,27.5652,0.0
db0c5926f2b64a6e9fe3a0c3e5126c14,ÇORUM,Merkez,2025-08-11 19:00:00,l1,51.7,27.5652,0.0
db0c5926f2b64a6e9fe3a0c3e5126c14,ÇORUM,Merkez,2025-08-11 19:30:00,l1,42.32,27.5652,0.0
db0c5926f2b64a6e9fe3a0c3e5126c14,ÇORUM,Merkez,2025-08-11 19:15:00,l1,38.06,27.5652,0.0
db0c5926f2b64a6e9fe3a0c3e5126c14,ÇORUM,Merkez,2025-08-11 19:45:00,l1,31.09,27.5652,0.0
db0c5926f2b64a6e9fe3a0c3e5126c14,ÇORUM,Merkez,2025-08-11 20:15:00,l1,33.68,27.5652,0.0
db0c5926f2b64a6e9fe3a0c3e5126c14,ÇORUM,Merkez,2025-08-11 20:30:00,l1,32.99,27.5652,0.0
db0c5926f2b64a6e9fe3a0c3e5126c14,ÇORUM,Merkez,2025-08-11 21:00:00,l1,41.06,27.5652,0.0
db0c5926f2b64a6e9fe3a0c3e5126c14,ÇORUM,Merkez,2025-08-11 20:45:00,l1,42.03,27.5652,0.0
db0c5926f2b64a6e9fe3a0c3e5126c14,ÇORUM,Merkez,2025-08-11 21:15:00,l1,28.97,27.5652,0.0
db0c5926f2b64a6e9fe3a0c3e5126c14,ÇORUM,Merkez,2025-08-11 21:30:00,l1,29.08,27.5652,0.0
db0c5926f2b64a6e9fe3a0c3e5126c14,ÇORUM,Merkez,2025-08-12 13:00:00,l1,92.62,27.5652,0.0
db0c5926f2b64a6e9fe3a0c3e5126c14,ÇORUM,Merkez,2025-08-13 18:30:00,l1,28.79,27.5652,0.0
db0c5926f2b64a6e9fe3a0c3e5126c14,ÇORUM,Merkez,2025-08-13 19:15:00,l1,36.96,27.5652,0.0
db0c5926f2b64a6e9fe3a0c3e5126c14,ÇORUM,Merkez,2025-08-13 19:30:00,l1,41.22,27.5652,0.0
db0c5926f2b64a6e9fe3a0c3e5126c14,ÇORUM,Merkez,2025-08-13 20:00:00,l1,36.18,27.5652,0.0
db0c5926f2b64a6e9fe3a0c3e5126c14,ÇORUM,Merkez,2025-08-14 18:30:00,l1,29.72,27.5652,0.0
db0c5926f2b64a6e9fe3a0c3e5126c14,ÇORUM,Merkez,2025-08-14 19:30:00,l1,28.56,27.5652,0.0
db0c5926f2b64a6e9fe3a0c3e5126c14,ÇORUM,Merkez,2025-08-15 08:45:00,l1,29.9,27.5652,0.0
db0c5926f2b64a6e9fe3a0c3e5126c14,ÇORUM,Merkez,2025-08-15 09:15:00,l1,43.94,27.5652,0.0
